id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6T0mZB7p3qzOifdXZ3Su9P,0.319,0.155,4,-18.728,1,0.036,0.996,0.917,0.126,0.0488,66.947,audio_features,spotify:track:6T0mZB7p3qzOifdXZ3Su9P,https://api.spotify.com/v1/tracks/6T0mZB7p3qzOifdXZ3Su9P,https://api.spotify.com/v1/audio-analysis/6T0mZB7p3qzOifdXZ3Su9P,326067,3
6TFuAErGpJ9FpxQQ1HC8nM,0.787,0.156,4,-14.056,0,0.157,0.994,0.659,0.11,0.849,117.167,audio_features,spotify:track:6TFuAErGpJ9FpxQQ1HC8nM,https://api.spotify.com/v1/tracks/6TFuAErGpJ9FpxQQ1HC8nM,https://api.spotify.com/v1/audio-analysis/6TFuAErGpJ9FpxQQ1HC8nM,167107,4
6UUfiNT82MWBNnmsE2ZNWf,0.569,0.15,5,-15.238,1,0.0474,0.993,0.0015,0.106,0.596,76.93,audio_features,spotify:track:6UUfiNT82MWBNnmsE2ZNWf,https://api.spotify.com/v1/tracks/6UUfiNT82MWBNnmsE2ZNWf,https://api.spotify.com/v1/audio-analysis/6UUfiNT82MWBNnmsE2ZNWf,122533,4
6Ukl7n0q3Cjd0Og8uBmVeP,0.763,0.132,4,-13.002,1,0.0886,0.992,0.0693,0.112,0.832,111.679,audio_features,spotify:track:6Ukl7n0q3Cjd0Og8uBmVeP,https://api.spotify.com/v1/tracks/6Ukl7n0q3Cjd0Og8uBmVeP,https://api.spotify.com/v1/audio-analysis/6Ukl7n0q3Cjd0Og8uBmVeP,173707,4
6UxGTlqovmrBV4SKAsoz0A,0.352,0.132,8,-23.202,1,0.0381,0.993,0.966,0.425,0.661,74.737,audio_features,spotify:track:6UxGTlqovmrBV4SKAsoz0A,https://api.spotify.com/v1/tracks/6UxGTlqovmrBV4SKAsoz0A,https://api.spotify.com/v1/audio-analysis/6UxGTlqovmrBV4SKAsoz0A,80800,4
6VGWQU6XIXshFT288CoLrk,0.833,0.132,1,-11.131,1,0.295,0.99,0.000568,0.0957,0.568,121.779,audio_features,spotify:track:6VGWQU6XIXshFT288CoLrk,https://api.spotify.com/v1/tracks/6VGWQU6XIXshFT288CoLrk,https://api.spotify.com/v1/audio-analysis/6VGWQU6XIXshFT288CoLrk,176000,4
6VUm7Dg5sufmG01IYcoJE3,0.277,0.09,7,-26.188,1,0.0316,0.975,0.949,0.125,0.168,105.031,audio_features,spotify:track:6VUm7Dg5sufmG01IYcoJE3,https://api.spotify.com/v1/tracks/6VUm7Dg5sufmG01IYcoJE3,https://api.spotify.com/v1/audio-analysis/6VUm7Dg5sufmG01IYcoJE3,245440,4
6VqUdRHLlFMXmN4plGWSMA,0.811,0.175,9,-13.639,1,0.0712,0.99,0.841,0.13,0.933,115.212,audio_features,spotify:track:6VqUdRHLlFMXmN4plGWSMA,https://api.spotify.com/v1/tracks/6VqUdRHLlFMXmN4plGWSMA,https://api.spotify.com/v1/audio-analysis/6VqUdRHLlFMXmN4plGWSMA,169720,4
6W7iUeL4W0WVIF1BEOCswF,0.699,0.221,11,-12.228,1,0.115,0.988,0.0725,0.142,0.782,117.899,audio_features,spotify:track:6W7iUeL4W0WVIF1BEOCswF,https://api.spotify.com/v1/tracks/6W7iUeL4W0WVIF1BEOCswF,https://api.spotify.com/v1/audio-analysis/6W7iUeL4W0WVIF1BEOCswF,166000,4
6WBXyRc3ynwvRHiBWudVLo,0.54,0.102,4,-18.555,1,0.0792,0.988,2.13E-06,0.0819,0.433,73.516,audio_features,spotify:track:6WBXyRc3ynwvRHiBWudVLo,https://api.spotify.com/v1/tracks/6WBXyRc3ynwvRHiBWudVLo,https://api.spotify.com/v1/audio-analysis/6WBXyRc3ynwvRHiBWudVLo,152600,4
6WFYaPHg3P8jQuh7x9YKYZ,0.569,0.327,7,-13.622,1,0.0499,0.99,0.947,0.134,0.562,82.742,audio_features,spotify:track:6WFYaPHg3P8jQuh7x9YKYZ,https://api.spotify.com/v1/tracks/6WFYaPHg3P8jQuh7x9YKYZ,https://api.spotify.com/v1/audio-analysis/6WFYaPHg3P8jQuh7x9YKYZ,162197,4
6WRmg6x1bYjHxzeMCfKguB,0.38,0.119,11,-21.255,1,0.0389,0.991,0.89,0.0601,0.18,132.005,audio_features,spotify:track:6WRmg6x1bYjHxzeMCfKguB,https://api.spotify.com/v1/tracks/6WRmg6x1bYjHxzeMCfKguB,https://api.spotify.com/v1/audio-analysis/6WRmg6x1bYjHxzeMCfKguB,505920,4
6WSYfri77xoUvXLg3WTdLF,0.28,0.0436,8,-25.958,1,0.0393,0.993,0.885,0.0865,0.182,81.076,audio_features,spotify:track:6WSYfri77xoUvXLg3WTdLF,https://api.spotify.com/v1/tracks/6WSYfri77xoUvXLg3WTdLF,https://api.spotify.com/v1/audio-analysis/6WSYfri77xoUvXLg3WTdLF,251960,4
6XD6qJykJ91uC9AYb84ZeY,0.715,0.22,2,-19.788,1,0.948,0.686,0,0.206,0.545,113.214,audio_features,spotify:track:6XD6qJykJ91uC9AYb84ZeY,https://api.spotify.com/v1/tracks/6XD6qJykJ91uC9AYb84ZeY,https://api.spotify.com/v1/audio-analysis/6XD6qJykJ91uC9AYb84ZeY,102200,3
